Continuing training from epoch 19 with edge weight 3.0
E19 | Step 10/13500 | Loss: 12.9002 | l1: 2.2546 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0959 | edge: 0.5497 | saturation: 0.0000
E19 | Step 20/13500 | Loss: 12.4587 | l1: 1.6510 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0681 | edge: 0.7396 | saturation: 0.0000
E19 | Step 30/13500 | Loss: 12.1745 | l1: 1.5412 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0499 | edge: 0.5833 | saturation: 0.0000
E19 | Step 40/13500 | Loss: 12.3235 | l1: 1.6010 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0555 | edge: 0.6373 | saturation: 0.0297
E19 | Step 50/13500 | Loss: 12.2212 | l1: 1.6144 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0609 | edge: 0.5459 | saturation: 0.0000
E19 | Step 60/13500 | Loss: 12.0580 | l1: 1.4328 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0599 | edge: 0.5457 | saturation: 0.0196
E19 | Step 70/13500 | Loss: 12.2037 | l1: 1.6553 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0567 | edge: 0.4917 | saturation: 0.0000
E19 | Step 80/13500 | Loss: 12.1332 | l1: 1.4352 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0518 | edge: 0.6463 | saturation: 0.0000
E19 | Step 90/13500 | Loss: 11.8205 | l1: 1.0972 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0279 | edge: 0.6954 | saturation: 0.0000
E19 | Step 100/13500 | Loss: 11.5984 | l1: 1.0736 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0253 | edge: 0.4994 | saturation: 0.0000
E19 | Step 110/13500 | Loss: 12.0828 | l1: 1.3925 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0473 | edge: 0.6430 | saturation: 0.0000
E19 | Step 120/13500 | Loss: 11.7631 | l1: 1.1358 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0304 | edge: 0.5970 | saturation: 0.0000
E19 | Step 130/13500 | Loss: 11.9090 | l1: 1.4364 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0505 | edge: 0.4221 | saturation: 0.0000
E19 | Step 140/13500 | Loss: 11.7980 | l1: 1.1137 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0268 | edge: 0.5849 | saturation: 0.0726
E19 | Step 150/13500 | Loss: 11.5576 | l1: 1.1223 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0298 | edge: 0.4056 | saturation: 0.0000
E19 | Step 160/13500 | Loss: 11.2964 | l1: 0.7598 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0154 | edge: 0.5212 | saturation: 0.0000
E19 | Step 170/13500 | Loss: 11.8464 | l1: 1.5130 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0361 | edge: 0.2973 | saturation: 0.0000
E19 | Step 180/13500 | Loss: 11.8961 | l1: 1.1742 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0314 | edge: 0.6905 | saturation: 0.0000
E19 | Step 190/13500 | Loss: 11.7572 | l1: 1.4240 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0318 | edge: 0.3013 | saturation: 0.0000
E19 | Step 200/13500 | Loss: 12.4069 | l1: 1.6576 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0679 | edge: 0.6215 | saturation: 0.0598
E19 | Step 210/13500 | Loss: 12.5174 | l1: 1.4859 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0478 | edge: 0.9836 | saturation: 0.0000
E19 | Step 220/13500 | Loss: 11.8679 | l1: 1.0732 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0291 | edge: 0.7655 | saturation: 0.0000
E19 | Step 230/13500 | Loss: 11.7149 | l1: 0.8856 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0200 | edge: 0.8093 | saturation: 0.0000
E19 | Step 240/13500 | Loss: 12.1214 | l1: 1.4071 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0516 | edge: 0.6342 | saturation: 0.0286
E19 | Step 250/13500 | Loss: 11.6064 | l1: 1.0118 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0218 | edge: 0.5728 | saturation: 0.0000
E19 | Step 260/13500 | Loss: 13.0961 | l1: 2.0694 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.1047 | edge: 0.8446 | saturation: 0.0774
